SMI,Target,Property
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)C(C)CC(N3)CC,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)C(CC)CC(N3)CC,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(CC)CCN3C,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)C(CC)CCN3C,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(CC)CCN3C=O,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)C(CC)CCN3,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)C(CC)CCN3,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)CCC(N3)CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(C)CC(O3)CC,AR,agonist
CCC(O1)CN(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(CC)CC(O3)CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(CC)C(CO3)CC,AR,agonist
CCC(CO1)N(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(C(CO3)CC)CC4CC4,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)CC(C)C(N3)CC,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(CC)[C@@H](C)CN3,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(CCC)CCN3,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)C(CCC)CCN3,AR,agonist
CCCCN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)c1cc(O)nc(c12)ccc(c2)N(CCCC)CCCC,AR,agonist
CCCN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)ccc(c2)N(CCC)CCC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(CCO3)CCC,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C[C@H](CCC)[C@H](N3)CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc(N)c(c2)CCC,AR,agonist
FC(F)(F)CN(CC)c(c1)ccc(c12)nc(O)cc2C(F)(F)F,AR,agonist
FC(F)(F)c1cc(O)nc(c12)ccc(c2)N(CC)CC,AR,agonist
FC(F)(F)c1cc(O)nc(c12)ccc(c2)N(C(C)C)CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(CC)CCO3,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(CC)C(C)CO3,AR,agonist
CCOC(=O)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
CCOc(c1OC)ccc(oc2=O)c1c(c2c34)ccc4[nH]c(=O)cc3C,AR,agonist
CC[C@H](CO1)N(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C[C@@H](CC)[C@@H](C)N3,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C[C@@H](CC)[C@H](N3)CC,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)[C@@H](CC)[C@H](C)CN3,AR,agonist
CC[C@@H](CO1)N(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)[C@@H](CC)C[C@@H](C)N3,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)[C@@H](CC)C[C@@H](C)N3,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)[C@@H](CC)C[C@H](N3)CC,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C[C@H](CC)[C@@H](C)N3,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C[C@H](CC)[C@H](N3)CC,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)[C@H](CC)[C@H](C)CN3,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)[C@H](CC)[C@H](C)CN3,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc(N)c(c2)CC,AR,agonist
FC(F)(F)CN(C)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
c1c(F)cc(F)cc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
c1ccc(F)cc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
c1ccccc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
c1ncccc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
c1cnccc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
C1CC1c(nc2)ncc2/C=C(/[C@@H]3O)C[C@H]([C@@]34C)[C@H]5[C@H](CC4)[C@]6(C)[C@@H](CC5)N(C)C(=O)C=C6,AR,agonist
c1ncncc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@@H](CC3)N(C)C(=O)C=C4,AR,agonist
c1ccc(F)cc1C[C@@H]([C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(C)CCO3,AR,agonist
CNc(nc1)ncc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
COC[C@@H]([C@@H]1O)C[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@@H](CC3)N(C)C(=O)C=C4,AR,agonist
FC(F)(F)OC(=O)c(c1OC)ccc(oc2=O)c1c(c2c34)ccc4[nH]c(=O)cc3C,AR,agonist
Cc1cc(=O)[nH]c2ccc(c3c12)c4c(OC3)ccc(O)c4OC,AR,agonist
Cc1cc(=O)[nH]c2ccc(c3c12)c4c(oc3=O)ccc(O)c4OC,AR,agonist
CC(C)Oc(c1OC)ccc(oc2=O)c1c(c2c34)ccc4[nH]c(=O)cc3C,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2OC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(cc2)c1c(c2c34)oc(=O)c3cccc4OC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c2ccc(c3c12)c4c(OC3)cccc4OC,AR,agonist
Cc1cc(=O)[nH]c2ccc(c3c12)c4c(OC3O)cccc4OC,AR,agonist
Cc1cc(=O)[nH]c2ccc(c3c12)c4c(OC3)cccc4OC,AR,agonist
Cc1cc(=O)[nH]c2ccc(c3c12)c4c(oc3=O)cccc4OC,AR,agonist
COc(nc1)ncc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
FC(F)(F)CN([C@H](CCl)C)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)[C@@H](C)N(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)ccc(c2)N3[C@H](C)CC[C@H]3C,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)ccc(c2)N3[C@H](C)CC[C@@H]3CCl,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)ccc(c2)N3[C@H](C)CC[C@@H]3CO,AR,agonist
FC(F)(F)[C@H](O)[C@H]1CC[C@@H](C)N1c(c2)ccc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)[C@@H](O)[C@H]1CC[C@@H](C)N1c(c2)ccc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
n1c(O)cc(C(F)(F)F)c(c2)c1cc(c23)NC[C@H]3C,AR,agonist
O1C[C@@H](C)N(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
O[C@H]1[C@H](C)C[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@@H](CC3)N(C)C(=O)C=C4,AR,agonist
Cn1c(=O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H](C)C3,AR,agonist
FC(F)(F)CN([C@@H](CCl)C)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)[C@H](C)N(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)ccc(c2)N3[C@@H](C)CC[C@H]3C,AR,agonist
n1c(O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H]4[C@@H]3C[C@@H](C)CC4,AR,agonist
O1C[C@H](C)N(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
Cn1c(=O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H](C)C3(C)C,AR,agonist
Cn1c(=O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H](C)[C@@H]3C,AR,agonist
n1c(O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H](C)C3(C)C,AR,agonist
n1c(O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H](C)[C@@H]3C,AR,agonist
C[C@]1(O)CCC([C@@]12C)C3[C@](F)([C@H](C2)O)[C@]4(C)C(CC3)=CC(=O)CC4,AR,agonist
C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@](F)([C@H](C2)O)[C@]4(C)C(CC3)=CC(=O)CC4,AR,agonist
n1c(O)cc(C(F)(F)F)c(c2)c1cc(c2[C@]34C)N[C@@H]3CCCC4,AR,agonist
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@@H](CC3)CC(=O)CC4,AR,agonist
CC(C)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C,AR,agonist
OCc1cccc2OCc(c3c12)c4c(cc3)[nH]c(=O)cc4C,AR,agonist
CC(C)(C)OC(=O)c1cccc(oc2=O)c1c(c2c34)ccc4[nH]c(=O)cc3C,AR,agonist
Cc1cc(=O)[nH]c2ccc(c3c12)c4c(oc3=O)ccc(F)c4,AR,agonist
c1nc(C)ncc1/C=C(/[C@@H]2O)C[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)N(C)C(=O)C=C5,AR,agonist
Cn1c(=O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H]4[C@@H]3CCCC4,AR,agonist
Cn1c(=O)cc(C(F)(F)F)c(c2)c1cc(c2[C@]34C)N[C@@H]3CCCC4,AR,agonist
c1cccc(c12)c(ccc2C#N)N(C3=O)C(=O)N(C34)CCC4O,AR,agonist
c1cccc(c12)c(ccc2C#N)N(C3=O)C(=O)N([C@H]34)CC[C@H]4O,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc(N)cc2,AR,agonist
FC(F)(F)C(=O)N(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
OC1CCN(C12)C(=O)N(C2=O)c(ccc3[N+]([O-])=O)c(c34)cccc4,AR,agonist
C1CCN(C12)C(=O)N(C2=O)c(ccc3[N+]([O-])=O)c(c34)cccc4,AR,agonist
O[C@@H]1CCN([C@@H]12)C(=O)N(C2=O)c(ccc3[N+]([O-])=O)c(c34)cccc4,AR,agonist
C1[C@@H](O)CN([C@H]12)C(=O)N(C2=O)c(ccc3[N+]([O-])=O)c(c34)cccc4,AR,agonist
C1[C@H](O)CN([C@H]12)C(=O)N(C2=O)c(ccc3[N+]([O-])=O)c(c34)cccc4,AR,agonist
c1cccc(c12)c(ccc2[N+]([O-])=O)N(C3=O)C(=O)N4[C@@H](CC5)C[C@@H]5[C@H]34,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2Br,AR,agonist
FC(F)(F)c1cc(=O)[nH]c2ccc(c3c12)c4c(OC3)cccc4O,AR,agonist
FC(F)(F)c1cc(=O)[nH]c2ccc(c3c12)c4c(CO3)cccc4,AR,agonist
FC(F)(F)CN(CC(Cl)Cl)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)C(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(Cl)CN(CC(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)CN(CC(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)ccc(c2)N(CC(F)F)CC(F)F,AR,agonist
FC(F)(F)CCN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)CN(CCCl)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
OCCN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
c1ccccc1CN(CC(F)(F)F)c(c2)ccc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
s1cccc1CN(CC(F)(F)F)c(c2)ccc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
c1occc1CN(CC(F)(F)F)c(c2)ccc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)C(F)(F)CNc(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)CNc(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N4C(CO3)CCCC4,AR,agonist
O1CCN(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(CCO3)CC4CC4,AR,agonist
[nH]1c(=O)cc(C(F)(F)F)c(c2)c1cc(OC3)c2N([C@@H]34)CCC4,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)CCCN3,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)C(C(F)(F)F)CCN3,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)F,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2Cl,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2O,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2,AR,agonist
C1CC1CN(CC(F)(F)F)c(c2)ccc(c23)nc(O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(O)nc(c12)ccc(c2)N(CC3CC3)CC4CC4,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)CCCN3,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)[C@@H]4[C@H](CN3)CCCC4,AR,agonist
FC(F)(F)c1cc(O)nc(c2)c1cc3c2NC[C@@H]([C@@H]34)CCC4,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)[C@@H]4[C@@H](CN3)CCCC4,AR,agonist
n1c(O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H]4[C@@H]3CCCC4,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)C[C@H](CC)[C@H](N3)CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)C[C@@H](CC)[C@H](C)N3,AR,agonist
N#Cc1c(I)cc(cc1)N(C(=O)C2(C)C)C(=S)N2CCCCO,AR,agonist
C[C@]1(O)CC[C@H]([C@@H]12)[C@H]3C(C=C2)=C4C(CC3)=CC(=O)CC4,AR,agonist
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H]([C@H](C2)O)[C@]4(C)C(CC3)=CC(=O)CC4,AR,agonist
FC(F)(F)c1c([N+]([O-])=O)ccc(c1)NC(=O)[C@](C)(O)CSc(cc2)ccc2NC(=O)C,AR,agonist
FC(F)(F)c1c([N+]([O-])=O)ccc(c1)NC(=O)[C@](C)(O)CSc(cc2)ccc2NC(=O)CCl,AR,agonist
FC(F)(F)c1c([N+]([O-])=O)ccc(c1)NC(=O)[C@](C(F)(F)F)(O)CSc(cc2)ccc2NC(=O)CCl,AR,agonist
[nH]1c(=O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H]4[C@@H]3CCCC4,AR,agonist
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@@H]4C(CC3)=CC(=O)CC4,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)[C@@H](CC)C[C@@H](N3)CC,AR,agonist
C#C[C@]1(O)C=C[C@H]([C@@]12CC)[C@H]3[C@H](CC2)[C@@H]4C(CC3)=CC(=O)CC4,AR,agonist
C#C[C@]1(O)CC[C@H]([C@@]12CC)[C@H]3[C@H](CC2)[C@@H]4C(CC3)=CC(=O)CC4,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)[C@@H](CC)C[C@@H](C)N3,AR,agonist
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@@H](CC3)C[C@H](O)CC4,AR,agonist
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@H](CC3)CC(=O)CC4,AR,agonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@@H]4C(=CC3)CC(=O)CC4,AR,agonist
C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(C=C2)=C4C(CC3)=CC(=O)CC4,AR,agonist
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](C(=O)C2)[C@]4(C)C(CC3)=CC(=O)CC4,AR,agonist
C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)C(CC3)=CC(=O)CC4,AR,agonist
c1ccccc1C(=O)O[C@H]2CC[C@H]([C@@]23C)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)CC(=O)CC5,AR,agonist
O[C@H]1CC[C@H]([C@@]12C)[C@H]3C(C=C2)=C4C(CC3)=CC(=O)CC4,AR,agonist
c1cccc(c12)c(ccc2C#N)N(C3=O)C(=O)N([C@H]34)CC[C@@H]4O,AR,agonist
CC[C@]1(O)CC[C@H]([C@@]12CC)[C@H]3C(C=C2)=C4C(CC3)=CC(=O)CC4,AR,agonist
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@](F)([C@H](C2)O)[C@]4(C)C(CC3)=CC(=O)CC4,AR,agonist
FC(F)(F)c1c([N+]([O-])=O)ccc(c1)NC(=O)[C@@](C)(O)COc2ccc(F)cc2,AR,agonist
BrC[C@](C)(O)C(=O)Nc(c1)ccc([N+]([O-])=O)c1C(F)(F)F,AR,agonist
N#Cc1c(C(F)(F)F)cc(cc1)N(C(=S)N2)C(=O)C2(C)C,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)[C@H](CC)CCN3,AR,agonist
c1c(F)cc(F)cc1COCC[C@]23[C@@H](CC[C@@H]2O)[C@H]4[C@H](CC3)[C@]5(C)[C@@H](CC4)CC(=O)CC5,AR,agonist
N#Cc1c(C(F)(F)F)cc(cc1)NC(=O)[C@@](C)(O)COc(cc2)ccc2C#N,AR,agonist
BrC[C@@H](Br)[C@H]1C[C@@H](Br)[C@@H](Br)CC1,AR,agonist
CC[C@H](CO1)N(CC(F)(F)F)c(c1c23)ccc3[nH]c(=O)cc2C(F)(F)F,AR,agonist
CC(C)[C@H](CO1)N(CC(F)(F)F)c(c1c23)ccc3[nH]c(=O)cc2C(F)(F)F,AR,agonist
[nH]1c(=O)cc(C(F)(F)F)c(c2)c1cc(c23)N[C@H](C)[C@@H]3C,AR,agonist
[nH]1c(=O)cc(C(F)(F)F)c(c2)c1cc(c2[C@]34C)N[C@@H]3CCCC4,AR,agonist
Cn1c(=O)cc(C(F)(F)F)c(c2)c1cc(c2[C@]34C)N(C)[C@@H]3CCCC4,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)C[C@@H](C)[C@H](N3)CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)C[C@@H](CC)[C@H](N3)CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)C[C@H](CCC)[C@H](N3)CC,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)[C@H](CCC)CCN3,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)[C@@H](C)[C@@H](C)CN3,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)[C@@H](CC)[C@@H](C)CN3,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c2)c1cc3c2NC[C@@H]([C@@H]34)CCC4,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)[C@@H]4[C@H](CN3)CCCC4,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)[C@@H]4[C@@H](CN3)CCCC4,AR,agonist
FC(F)(F)CN(CC)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
c1ccnc(c12)c(ccc2C#N)N(C3=O)C(=O)N([C@H]34)CC[C@H]4O,AR,agonist
N#Cc1c(OC)cc(cc1)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
N#Cc1c(Cl)cc(cc1)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
c1ccccc1-c(c2C#N)cc(cc2)N(C3=O)C(=O)N([C@H]34)CC[C@H]4O,AR,agonist
N#Cc1cc(C)c(cc1)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
N#Cc1c(C)c(C)c(cc1)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
FC(F)(F)c1c(C#N)ccc(c1C)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
N#Cc1c(OC)c(C)c(cc1)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
N#Cc1c(F)c(C)c(cc1)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
N#Cc1c(Cl)c(C)c(cc1)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
N#Cc1c(Br)c(C)c(cc1)N(C2=O)C(=O)N([C@H]23)CC[C@H]3O,AR,agonist
